,Squad,sq_Poss,sq_Gls,sq_Ast,sq_Gls/90,sq_Ast/90,opp_sq_Poss,opp_sq_Gls,opp_sq_Ast,opp_sq_Gls/90,opp_sq_Ast/90
0,Atalanta,55.0,62,48,1.63,1.26,44.9,45.0,29.0,1.18,0.76
1,Bologna,50.6,43,34,1.13,0.89,49.3,53.0,32.0,1.39,0.84
2,Cagliari,44.5,34,26,0.89,0.68,55.6,67.0,41.0,1.76,1.08
3,Empoli,47.4,47,27,1.24,0.71,52.9,64.0,44.0,1.68,1.16
4,Fiorentina,57.7,59,33,1.55,0.87,41.8,49.0,33.0,1.29,0.87
5,Genoa,43.9,26,19,0.68,0.5,56.1,58.0,35.0,1.53,0.92
6,Hellas Verona,50.6,63,44,1.66,1.16,49.4,57.0,38.0,1.5,1.0
7,Inter,56.5,83,57,2.18,1.5,43.4,31.0,19.0,0.82,0.5
8,Juventus,51.5,56,37,1.47,0.97,48.3,36.0,21.0,0.95,0.55
9,Lazio,55.4,74,48,1.95,1.26,44.4,57.0,40.0,1.5,1.05
10,Milan,54.0,66,39,1.74,1.03,45.8,29.0,19.0,0.76,0.5
11,Napoli,58.3,74,46,1.95,1.21,41.5,30.0,19.0,0.79,0.5
12,Roma,51.4,58,31,1.53,0.82,48.6,41.0,23.0,1.08,0.61
13,Salernitana,41.2,32,19,0.84,0.5,59.0,76.0,58.0,2.0,1.53
14,Sampdoria,46.1,42,29,1.11,0.76,54.1,61.0,41.0,1.61,1.08
15,Sassuolo,54.9,60,39,1.58,1.03,44.8,65.0,48.0,1.71,1.26
16,Spezia,42.7,38,25,1.0,0.66,57.3,68.0,44.0,1.79,1.16
17,Torino,53.3,43,27,1.13,0.71,46.4,41.0,25.0,1.08,0.66
18,Udinese,42.7,58,36,1.53,0.95,57.7,57.0,39.0,1.5,1.03
19,Venezia,42.3,34,23,0.89,0.61,57.9,67.0,39.0,1.76,1.03
20,Arminia,40.7,26,18,0.76,0.53,59.5,51.0,34.0,1.5,1.0
21,Augsburg,41.5,39,26,1.15,0.76,58.8,54.0,40.0,1.59,1.18
22,Bayern Munich,64.5,92,70,2.71,2.06,35.2,36.0,28.0,1.06,0.82
23,Bochum,44.7,37,22,1.09,0.65,55.5,48.0,34.0,1.41,1.0
24,Dortmund,59.2,81,57,2.38,1.68,40.4,50.0,32.0,1.47,0.94
25,Eint Frankfurt,49.6,43,33,1.26,0.97,50.4,48.0,33.0,1.41,0.97
26,Freiburg,49.0,55,37,1.62,1.09,50.8,45.0,35.0,1.32,1.03
27,Greuther Fürth,43.6,26,15,0.76,0.44,56.6,77.0,56.0,2.26,1.65
28,Hertha BSC,43.7,35,23,1.03,0.68,56.5,71.0,44.0,2.09,1.29
29,Hoffenheim,53.2,55,42,1.62,1.24,46.4,59.0,46.0,1.74,1.35
30,Köln,54.8,52,40,1.53,1.18,44.9,47.0,38.0,1.38,1.12
31,Leverkusen,53.7,76,58,2.24,1.71,46.1,46.0,25.0,1.35,0.74
32,M'Gladbach,54.0,54,38,1.59,1.12,45.6,61.0,46.0,1.79,1.35
33,Mainz 05,46.5,49,36,1.44,1.06,53.7,44.0,32.0,1.29,0.94
34,RB Leipzig,56.1,72,53,2.12,1.56,43.4,36.0,23.0,1.06,0.68
35,Stuttgart,50.7,40,31,1.18,0.91,49.3,58.0,44.0,1.71,1.29
36,Union Berlin,43.7,50,33,1.47,0.97,56.6,40.0,28.0,1.18,0.82
37,Wolfsburg,50.5,42,25,1.24,0.74,49.4,53.0,39.0,1.56,1.15
38,Arsenal,52.8,60,41,1.58,1.08,46.8,47.0,33.0,1.24,0.87
39,Aston Villa,46.5,50,42,1.32,1.11,53.5,52.0,35.0,1.37,0.92
40,Brentford,44.8,46,33,1.21,0.87,55.5,54.0,41.0,1.42,1.08
41,Brighton,54.4,40,30,1.05,0.79,45.3,44.0,34.0,1.16,0.89
42,Burnley,40.2,32,26,0.84,0.68,60.2,51.0,36.0,1.34,0.95
43,Chelsea,61.8,75,52,1.97,1.37,37.7,32.0,20.0,0.84,0.53
44,Crystal Palace,51.1,50,31,1.32,0.82,49.1,44.0,30.0,1.16,0.79
45,Everton,40.0,42,29,1.11,0.76,60.3,61.0,46.0,1.61,1.21
46,Leeds United,52.3,42,26,1.11,0.68,47.5,78.0,59.0,2.05,1.55
47,Leicester City,52.0,62,46,1.63,1.21,47.9,58.0,36.0,1.53,0.95
48,Liverpool,62.7,94,71,2.47,1.87,36.7,25.0,18.0,0.66,0.47
49,Manchester City,67.9,96,63,2.53,1.66,31.5,26.0,23.0,0.68,0.61
50,Manchester Utd,52.7,56,46,1.47,1.21,47.1,54.0,41.0,1.42,1.08
51,Newcastle Utd,40.4,41,23,1.08,0.61,60.1,60.0,43.0,1.58,1.13
52,Norwich City,42.9,21,16,0.55,0.42,57.5,82.0,57.0,2.16,1.5
53,Southampton,47.7,41,26,1.08,0.68,52.1,65.0,47.0,1.71,1.24
54,Tottenham,51.8,63,50,1.66,1.32,48.0,39.0,29.0,1.03,0.76
55,Watford,40.7,33,26,0.87,0.68,59.7,74.0,56.0,1.95,1.47
56,West Ham,47.9,58,46,1.53,1.21,52.2,49.0,38.0,1.29,1.0
57,Wolves,49.5,35,22,0.92,0.58,50.4,42.0,23.0,1.11,0.61
58,Alavés,42.0,29,20,0.76,0.53,58.2,65.0,48.0,1.71,1.26
59,Athletic Club,48.1,40,34,1.05,0.89,51.9,35.0,26.0,0.92,0.68
60,Atlético Madrid,50.6,63,45,1.66,1.18,49.4,40.0,28.0,1.05,0.74
61,Barcelona,64.2,68,52,1.79,1.37,35.2,38.0,27.0,1.0,0.71
62,Betis,53.7,60,45,1.58,1.18,45.9,38.0,29.0,1.0,0.76
63,Cádiz,41.3,35,21,0.92,0.55,59.1,51.0,31.0,1.34,0.82
64,Celta Vigo,55.2,43,29,1.13,0.76,44.4,41.0,29.0,1.08,0.76
65,Elche,48.4,39,29,1.03,0.76,51.6,52.0,41.0,1.37,1.08
66,Espanyol,46.9,39,25,1.03,0.66,52.9,51.0,39.0,1.34,1.03
67,Getafe,41.5,31,26,0.82,0.68,58.8,40.0,30.0,1.05,0.79
68,Granada,44.7,43,28,1.13,0.74,66.0,59.0,46.0,1.55,1.21
69,Levante,47.2,51,34,1.34,0.89,53.1,76.0,59.0,2.0,1.55
70,Mallorca,45.3,33,23,0.87,0.61,54.9,59.0,40.0,1.55,1.05
71,Osasuna,46.9,37,23,0.97,0.61,53.3,49.0,37.0,1.29,0.97
72,Rayo Vallecano,49.9,38,28,1.0,0.74,50.1,49.0,33.0,1.29,0.87
73,Real Madrid,59.9,80,59,2.11,1.55,34.0,31.0,20.0,0.82,0.53
74,Real Sociedad,54.3,40,22,1.05,0.58,45.3,37.0,28.0,0.97,0.74
75,Sevilla,59.4,51,40,1.34,1.05,40.2,30.0,19.0,0.79,0.5
76,Valencia,43.6,45,30,1.18,0.79,56.4,50.0,34.0,1.32,0.89
77,Villarreal,56.8,62,51,1.63,1.34,43.0,36.0,20.0,0.95,0.53
78,Akhmat Grozny,46.4,35,16,1.17,0.53,53.6,36.0,31.0,1.2,1.03
79,Arsenal Tula,44.7,30,24,1.0,0.8,55.3,59.0,38.0,1.97,1.27
80,CSKA Moscow,55.7,42,24,1.4,0.8,44.3,28.0,21.0,0.93,0.7
81,Dynamo Mosc,50.5,51,34,1.7,1.13,49.5,41.0,27.0,1.37,0.9
82,FC Khimki,46.0,32,18,1.07,0.6,54.0,46.0,37.0,1.53,1.23
83,Krasnodar,57.0,41,26,1.37,0.87,43.0,29.0,21.0,0.97,0.7
84,Loko Moscow,53.1,41,31,1.37,1.03,46.9,38.0,22.0,1.27,0.73
85,Nizhny Novgorod,40.8,25,16,0.83,0.53,59.2,35.0,27.0,1.17,0.9
86,Rostov,50.4,43,30,1.43,1.0,49.6,48.0,31.0,1.6,1.03
87,Rubin Kazan,46.4,29,18,0.97,0.6,53.6,55.0,35.0,1.83,1.17
88,Samara,51.6,37,28,1.23,0.93,48.4,35.0,23.0,1.17,0.77
89,Sochi,53.8,53,36,1.77,1.2,46.2,28.0,19.0,0.93,0.63
90,Spartak Moscow,53.9,37,24,1.23,0.8,46.1,41.0,22.0,1.37,0.73
91,Ufa,44.0,29,19,0.97,0.63,56.0,39.0,25.0,1.3,0.83
92,Ural,47.7,26,23,0.87,0.77,52.3,32.0,18.0,1.07,0.6
93,Zenit,60.1,66,47,2.2,1.57,39.9,27.0,17.0,0.9,0.57
94,Angers,48.4,41,25,1.08,0.66,51.3,52.0,36.0,1.37,0.95
95,Bordeaux,47.4,50,39,1.32,1.03,52.7,88.0,65.0,2.32,1.71
96,Brest,43.9,48,32,1.26,0.84,56.2,55.0,41.0,1.45,1.08
97,Clermont Foot,50.0,36,25,0.95,0.66,50.0,66.0,44.0,1.74,1.16
98,Lens,50.7,60,39,1.58,1.03,49.2,48.0,31.0,1.26,0.82
99,Lille,50.8,45,29,1.18,0.76,49.2,46.0,24.0,1.21,0.63
100,Lorient,44.4,35,20,0.92,0.53,55.7,60.0,39.0,1.58,1.03
101,Lyon,58.4,64,45,1.68,1.18,41.2,48.0,30.0,1.26,0.79
102,Marseille,61.7,61,40,1.61,1.05,38.0,37.0,27.0,0.97,0.71
103,Metz,42.9,33,24,0.87,0.63,57.2,67.0,50.0,1.76,1.32
104,Monaco,54.1,62,45,1.63,1.18,45.8,37.0,25.0,0.97,0.66
105,Montpellier,48.2,48,31,1.26,0.82,51.9,60.0,41.0,1.58,1.08
106,Nantes,43.9,53,37,1.39,0.97,56.3,47.0,34.0,1.24,0.89
107,Nice,51.5,52,35,1.37,0.92,48.4,36.0,24.0,0.95,0.63
108,Paris S-G,63.0,88,65,2.32,1.71,36.6,35.0,25.0,0.92,0.66
109,Reims,42.2,42,27,1.11,0.71,57.8,44.0,26.0,1.16,0.68
110,Rennes,55.9,81,61,2.13,1.61,43.7,39.0,27.0,1.03,0.71
111,Saint-Étienne,48.5,41,25,1.08,0.66,50.7,73.0,57.0,1.92,1.5
112,Strasbourg,49.5,56,40,1.47,1.05,50.5,42.0,31.0,1.11,0.82
113,Troyes,44.4,35,23,0.92,0.61,55.8,51.0,30.0,1.34,0.79
114,Aberdeen,57.6,40,28,1.05,0.74,42.4,45.0,25.0,1.18,0.66
115,Celtic,69.6,91,61,2.39,1.61,30.4,22.0,18.0,0.58,0.47
116,Dundee,40.6,32,26,0.84,0.68,59.4,61.0,40.0,1.61,1.05
117,Dundee United,46.1,36,22,0.95,0.58,53.9,41.0,30.0,1.08,0.79
118,Hearts,55.6,54,29,1.42,0.76,44.4,43.0,33.0,1.13,0.87
119,Hibernian,53.7,36,24,0.95,0.63,46.3,41.0,26.0,1.08,0.68
120,Livingston,41.7,39,22,1.03,0.58,58.3,45.0,26.0,1.18,0.68
121,Motherwell,41.5,41,24,1.08,0.63,58.5,58.0,36.0,1.53,0.95
122,Rangers,64.2,77,56,2.03,1.47,35.8,31.0,14.0,0.82,0.37
123,Ross County,41.3,45,23,1.18,0.61,58.7,60.0,39.0,1.58,1.03
124,St Johnstone,43.4,22,14,0.58,0.37,56.6,51.0,37.0,1.34,0.97
125,St Mirren,45.2,33,22,0.87,0.58,54.8,48.0,27.0,1.26,0.71
126,Anderlecht,56.3,70,44,2.06,1.29,43.4,36.0,25.0,1.06,0.74
127,Antwerp,52.7,53,26,1.56,0.76,47.1,37.0,19.0,1.09,0.56
128,Beerschot,44.4,31,18,0.91,0.53,55.9,69.0,50.0,2.03,1.47
129,Cercle Brugge,46.6,49,25,1.44,0.74,53.6,45.0,33.0,1.32,0.97
130,Charleroi,50.8,52,41,1.53,1.21,49.2,43.0,29.0,1.26,0.85
131,Club Brugge,58.1,71,48,2.09,1.41,41.4,36.0,20.0,1.06,0.59
132,Eupen,49.6,36,25,1.06,0.74,50.6,60.0,36.0,1.76,1.06
133,Genk,58.9,65,45,1.91,1.32,40.8,47.0,34.0,1.38,1.0
134,Gent,54.4,54,34,1.59,1.0,45.3,29.0,17.0,0.85,0.5
135,Kortrijk,47.1,43,29,1.26,0.85,53.0,47.0,33.0,1.38,0.97
136,Mechelen,53.0,56,42,1.7,1.27,46.6,54.0,39.0,1.64,1.18
137,OH Leuven,49.6,42,28,1.27,0.85,50.5,57.0,34.0,1.73,1.03
138,Oostende,45.2,33,22,0.97,0.65,54.9,61.0,45.0,1.79,1.32
139,R.F.C. Seraing,47.5,29,19,0.85,0.56,52.0,64.0,40.0,1.88,1.18
140,Sint-Truiden,43.4,40,22,1.18,0.65,56.9,40.0,27.0,1.18,0.79
141,Standard Liège,48.6,31,3,0.91,0.09,51.5,50.0,9.0,1.47,0.26
142,Union SG,48.3,71,48,2.09,1.41,51.9,27.0,14.0,0.79,0.41
143,Zulte Waregem,45.4,42,27,1.24,0.79,54.6,66.0,42.0,1.94,1.24
144,Ajax,66.0,94,71,2.76,2.09,33.4,19.0,15.0,0.56,0.44
145,AZ Alkmaar,55.8,62,49,1.82,1.44,43.9,44.0,33.0,1.29,0.97
146,Cambuur,48.3,51,38,1.5,1.12,51.5,69.0,56.0,2.03,1.65
147,Feyenoord,58.5,75,57,2.21,1.68,41.2,33.0,23.0,0.97,0.68
148,Fortuna Sittard,43.4,35,24,1.03,0.71,56.8,66.0,54.0,1.94,1.59
149,Go Ahead Eag,47.2,36,27,1.06,0.79,52.9,50.0,34.0,1.47,1.0
150,Groningen,48.9,39,27,1.15,0.79,50.9,53.0,38.0,1.56,1.12
151,Heerenveen,47.6,34,26,1.0,0.76,52.5,49.0,35.0,1.44,1.03
152,Heracles Almelo,46.8,32,18,0.94,0.53,53.2,47.0,37.0,1.38,1.09
153,NEC Nijmegen,47.3,38,19,1.12,0.56,52.6,51.0,35.0,1.5,1.03
154,PSV Eindhoven,57.7,84,66,2.47,1.94,42.1,40.0,29.0,1.18,0.85
155,RKC Waalwijk,43.5,39,31,1.15,0.91,56.7,51.0,34.0,1.5,1.0
156,Sparta R'dam,42.0,30,22,0.88,0.65,58.3,46.0,33.0,1.35,0.97
157,Twente,51.2,53,33,1.56,0.97,48.7,35.0,25.0,1.03,0.74
158,Utrecht,48.4,49,34,1.44,1.0,52.0,43.0,30.0,1.26,0.88
159,Vitesse,52.1,42,27,1.24,0.79,47.8,49.0,32.0,1.44,0.94
